Intersection,Trash,Recycle,Big Belly Trash,Big Belly Recycle,Area
5th & Catherine,2,0,0,0,1
5th & Kingsley,1,0,0,0,1
5th & Detroit,0,0,2,2,1
4th & Kingsley,0,0,0,0,1
Detroit & Kingsley,0,0,0,0,1
Mid-block 4th (Kingsley to Catherine),1,0,0,0,1
Mid-block 5th (Community High),0,0,1,1,1
Detroit & Catherine,1,0,0,0,1
4th & Catherine,2,1,0,0,1
Miller & Main,1,0,0,0,1
Miller & Ashley,0,0,0,0,1
1st & Miller,0,0,0,0,1
1st & Ann,0,0,0,0,1
Ann & Ashley,0,0,0,0,1
Main & Kingsley & Beakes St.,0,0,0,0,1
Ann & Main,2,0,0,0,2
5th & Ann,0,0,0,0,2
Mid-block 5th (Fire Dept) ,0,0,0,0,2
1st & Huron,0,0,0,0,2
Huron & Main,2,0,0,0,2
5th & Huron,2,0,0,0,2
4th & Huron,2,0,0,0,2
Huron & Ashley,0,0,0,0,2
4th & Ann,0,0,0,0,2
3rd/Chapin & Huron,0,0,0,0,2
Huron & Division,0,0,0,0,2
1st & Washington,2,0,0,0,3
Washington & Ashley,2,1,0,0,3
Washington & Main,3,2,0,0,3
1st & Liberty,0,0,0,0,3
1st & William,0,0,0,0,3
William & Ashley,0,0,0,0,3
Washington & Chopin,0,0,0,0,3
Liberty & Ashley,1,0,0,0,3
Liberty & Main,2,1,0,0,3
Jefferson & Main,0,0,0,0,3
Main & Packard,0,0,0,0,3
Mid-block Main (Liberty to William),1,0,1,1,3
William & Main,1,1,0,0,3
4th & Washington,3,2,0,0,4
5th & Washington,1,0,0,0,4
4th & Liberty,2,1,0,0,4
Mid-block Liberty (Federal Building),1,1,0,0,4
5th & Liberty,2,0,0,0,4
"Mid-block Liberty (5th to Division, 325 Liberty)",1,0,0,0,4
4th & William,0,0,0,0,4
5th & William,0,0,0,0,4
Washington & Division,0,0,0,0,5
Liberty & Division,2,2,0,0,5
Liberty & Thompson,3,2,0,0,5
"Mid-block Liberty (Thompson to Maynard, 505 Liberty)",2,0,0,0,5
William & Division,2,2,0,0,5
Thompson & William,1,0,0,0,5
Washington & State,2,1,0,0,6
Washington & Thayer,0,0,0,0,6
Huron & State,0,0,0,0,6
Maynard & Liberty,1,0,2,2,6
State & Liberty,4,1,0,0,6
Mid-block Maynard (Liberty to William),0,0,0,0,6
State & N. University,3,1,0,0,6
S. Thayer & N. University,0,0,0,0,6
William & Maynard,2,0,0,0,6
5th & William,1,0,0,0,6
State & William,0,0,1,1,6
South U. & East U.,2,0,0,0,7
South U. & Church,1,0,1,1,7
"Mid-block Church (Willard to S.U., 611 & 616 Church)",2,0,0,0,7
Mid-block South U. (Forest to Washtenaw),0,0,0,0,7
East U. & Willard,1,0,0,0,7
Church & Willard,1,0,0,0,7
South U. & Forest,1,1,1,0,8
South U. & Washtenaw,2,0,0,0,8
Willard & Forest,1,0,0,0,8